food_commodity_group,food_commodity_typology,food_commodity_item,carbon_footprint_,publication_year,country,region,wfp
AGRICULTURAL PROCESSED,BEER,BEER GLASS BOTTLE,0.42,2012.0,Europe,Europe,0
AGRICULTURAL PROCESSED,BEER,BEER GLASS BOTTLE,0.568,2016.0,Italy,Mediterranean area,0
AGRICULTURAL PROCESSED,BEER,BEER GLASS BOTTLE,0.666,2016.0,Italy,Mediterranean area,0
AGRICULTURAL PROCESSED,BEER,BEER GLASS BOTTLE,0.842,2016.0,UK,N Europe,0
AGRICULTURAL PROCESSED,BEER,BEER GLASS BOTTLE,0.9605,2018.0,Italy,Mediterranean area,0
AGRICULTURAL PROCESSED,BEER,BEER GLASS BOTTLE,1.1111,2018.0,Italy,Mediterranean area,0
AGRICULTURAL PROCESSED,BEER,BEER GLASS BOTTLE,1.1718,2018.0,Italy,Mediterranean area,0
AGRICULTURAL PROCESSED,BEER,BEER GLASS BOTTLE,1.29,2012.0,Chile,S America,0
AGRICULTURAL PROCESSED,BEER,BEER GLASS BOTTLE,2.27,2012.0,Chile,S America,0
AGRICULTURAL PROCESSED,BEER,BEER IN CAN,0.51,2016.0,UK,N Europe,0
AGRICULTURAL PROCESSED,BEER,BEER IN CAN,0.575,2016.0,UK,N Europe,0
AGRICULTURAL PROCESSED,BEER,BEER IN CAN,0.693,2016.0,Italy,Mediterranean area,0
AGRICULTURAL PROCESSED,BEER,BEER IN CAN,0.7714,2018.0,Italy,Mediterranean area,0
AGRICULTURAL PROCESSED,BEER,BEER IN CAN,0.9,2012.0,USA,N America,0
AGRICULTURAL PROCESSED,BEER,BEER MODULAR CAN,0.5043,2018.0,Italy,Mediterranean area,0
AGRICULTURAL PROCESSED,BEER,BEER MODULAR CAN,0.5176,2018.0,Italy,Mediterranean area,0
AGRICULTURAL PROCESSED,BEER,BEER MODULAR CAN,0.5306,2018.0,Italy,Mediterranean area,0
AGRICULTURAL PROCESSED,BEER,BEER MODULAR CAN,0.5776,2018.0,Italy,Mediterranean area,0
AGRICULTURAL PROCESSED,BEER,BEER MODULAR CAN,0.5906,2018.0,Italy,Mediterranean area,0
AGRICULTURAL PROCESSED,BISCUITS,CHOCOLATE OR CREAM FILLED COOKIES,1.234,2018.0,Italy,Mediterranean area,0
