food_code,description,kgco2e/kg,product
12042,"Soya milk, plain                                                                 ",0.2508380343466482, soya milk
12131,"Cheese, Brie                                                                     ",18.584, cheese
12134,"Cheese, Cheddar, average                                                         ",18.584, cheese
12147,"Cottage cheese, plain                                                            ",18.584, cheese
12154,"Cheese, Edam                                                                     ",18.584, cheese
12179,Soya cheese                                                                      ,2.5334641469011467, soya cheese
12196,Soya yogurt                                                                      ,0.2508380343466482, soya milk
12206,"Ice cream, non-dairy, vanilla                                                    ",0.2508380343466482, soya milk
14242,Raisins                                                                          ,0.8277216312575675,Raisins
14271,"Apple juice, unsweetened                                                         ",0.9854796760923926, apple juice
14283,"Orange juice, unsweetened                                                        ",0.19302, orange juice
1064,Drinking chocolate powder                                                        ,1.0588504633016338, Drinking Chocolate
11169,"Digestive biscuits, chocolate                                                    ",1.4785957328613701," digestive biscuits, chocolate"
11183,Semi-sweet biscuits                                                              ,1.2625463404178818, semi-sweet biscuit
12027,Coffeemate                                                                       ,1.6757843137254902, Coffeemate
12097,Horlicks powder                                                                  ,1.4358290823283946, Horlicks powder
12108,Ovaltine powder                                                                  ,1.4358290823283946, Horlicks powder
13043,"Baked beans, canned in tomato sauce                                              ",1.0775986140624005, baked beans
13045,"Baked beans, canned in tomato sauce, reduced sugar",1.0775986140624005, baked beans
13046,"Baked beans, canned in tomato sauce, reduced sugar, reduced                      ",1.0775986140624005, baked beans
17120,"Toffees, mixed                                                                   ",0.9770866861741039, toffees
17152,"Coffee, infusion, average                                                        ",10.139999999999999,Coffee
17165,"Tea, black, infusion, average                                                    ",1.9400000000000002,Tea
17175,Cola                                                                             ,0.011468963769951865, soft drinks
17179,Lemonade                                                                         ,0.011468963769951865, soft drinks
17189,"Fruit drink/squash, concentrated                                                 ",0.011468963769951865, soft drinks
87001,"Carbonated beverages, low calorie                                                ",0.011468963769951865, soft drinks
17087,"Chocolate, diabetic                                                              ",1.7947244574494026, chocolate
17088,"Chocolate, fancy and filled                                                      ",1.7947244574494026, chocolate
17094,Mars bar                                                                         ,1.7947244574494026, chocolate
17100,Twix                                                                             ,1.7947244574494026, chocolate
65,All-Bran                                                                         ,1.0377141502400222,Wheat
68,Common Sense Oat Bran Flakes                                                     ,1.7633640891646936,Cereals- excluding beer
71,Frosties                                                                         ,0.74,Maize
